dice_id,face,adjacent_1,adjacent_2,adjacent_3,opposite,face_pair
10,18,12,16,14,8,8:18
10,19,13,9,16,5,5:19
10,20,14,11,7,1,1:20
11,1,10,6,13,20,1:20
11,2,3,8,7,12,2:12
11,3,9,2,11,17,3:17
11,4,10,5,8,16,4:16
11,5,7,4,15,19,5:19
11,6,9,1,8,14,6:14
11,7,2,5,20,13,7:13
11,8,2,6,4,18,8:18
11,9,3,19,6,15,9:15
11,10,4,1,17,11,10:11
11,11,20,16,3,10,10:11
11,12,13,18,17,2,2:12
11,13,19,12,1,7,7:13
11,14,15,18,20,6,6:14
11,15,17,14,5,9,9:15
11,16,19,11,18,4,4:16
11,17,12,15,10,3,3:17
11,18,12,16,14,8,8:18
11,19,13,9,16,5,5:19
11,20,14,11,7,1,1:20
12,1,10,6,13,20,1:20
12,2,3,8,7,12,2:12
12,3,9,2,11,17,3:17
12,4,10,5,8,16,4:16
12,5,7,4,15,19,5:19
12,6,9,1,8,14,6:14
12,7,2,5,20,13,7:13
12,8,2,6,4,18,8:18
12,9,3,19,6,15,9:15
12,10,4,1,17,11,10:11
12,11,20,16,3,10,10:11
12,12,13,18,17,2,2:12
12,13,19,12,1,7,7:13
12,14,15,18,20,6,6:14
12,15,17,14,5,9,9:15
12,16,19,11,18,4,4:16
12,17,12,15,10,3,3:17
12,18,12,16,14,8,8:18
12,19,13,9,16,5,5:19
12,20,14,11,7,1,1:20
13,1,10,6,13,20,1:20
13,2,3,8,7,12,2:12
13,3,9,2,11,17,3:17
13,4,10,5,8,16,4:16
13,5,7,4,15,19,5:19
13,6,9,1,8,14,6:14
13,7,2,5,20,13,7:13
13,8,2,6,4,18,8:18
13,9,3,19,6,15,9:15
13,10,4,1,17,11,10:11
13,11,20,16,3,10,10:11
13,12,13,18,17,2,2:12
13,13,19,12,1,7,7:13
13,14,15,18,20,6,6:14
13,15,17,14,5,9,9:15
13,16,19,11,18,4,4:16
13,17,12,15,10,3,3:17
13,18,12,16,14,8,8:18
13,19,13,9,16,5,5:19
13,20,14,11,7,1,1:20
14,1,10,6,13,20,1:20
14,2,3,8,7,12,2:12
14,3,9,2,11,17,3:17
14,4,10,5,8,16,4:16
14,5,7,4,15,19,5:19
14,6,9,1,8,14,6:14
14,7,2,5,20,13,7:13
14,8,2,6,4,18,8:18
14,9,3,19,6,15,9:15
14,10,4,1,17,11,10:11
14,11,20,16,3,10,10:11
14,12,13,18,17,2,2:12
14,13,19,12,1,7,7:13
14,14,15,18,20,6,6:14
14,15,17,14,5,9,9:15
14,16,19,11,18,4,4:16
14,17,12,15,10,3,3:17
14,18,12,16,14,8,8:18
14,19,13,9,16,5,5:19
14,20,14,11,7,1,1:20
15,1,10,6,13,20,1:20
15,2,3,8,7,12,2:12
15,3,9,2,11,17,3:17
15,4,10,5,8,16,4:16
15,5,7,4,15,19,5:19
15,6,9,1,8,14,6:14
15,7,2,5,20,13,7:13
15,8,2,6,4,18,8:18
15,9,3,19,6,15,9:15
15,10,4,1,17,11,10:11
15,11,20,16,3,10,10:11
15,12,13,18,17,2,2:12
15,13,19,12,1,7,7:13
15,14,15,18,20,6,6:14
15,15,17,14,5,9,9:15
15,16,19,11,18,4,4:16
15,17,12,15,10,3,3:17
15,18,12,16,14,8,8:18
15,19,13,9,16,5,5:19
15,20,14,11,7,1,1:20
16,1,7,19,13,20,1:20
16,2,12,18,20,19,2:19
16,3,17,16,19,18,3:18
